date,annual_cons_twh
01/01/1965,293.3252258
01/01/1966,310.5831604
01/01/1967,316.5494385
01/01/1968,344.7646484
01/01/1969,378.4273376
01/01/1970,404.0318604
01/01/1971,424.8291321
01/01/1972,469.5794373
01/01/1973,506.4697571
01/01/1974,557.6808472
01/01/1975,595.5825806
01/01/1976,633.882019
01/01/1977,668.7050171
01/01/1978,752.5098267
01/01/1979,832.0408936
01/01/1980,906.3236084
01/01/1981,1002.081543
01/01/1982,1044.314331
01/01/1983,1032.646362
01/01/1984,1080.826172
01/01/1985,1134.396118
01/01/1986,1100.674438
01/01/1987,1136.899292
01/01/1988,1145.464844
01/01/1989,1209.829468
01/01/1990,1272.686279
01/01/1991,1321.859009
01/01/1992,1345.479858
01/01/1993,1352.363281
01/01/1994,1428.693848
01/01/1995,1407.818848
01/01/1996,1452.489868
01/01/1997,1476.550171
01/01/1998,1541.710205
01/01/1999,1562.53125
01/01/2000,1636.052002
01/01/2001,1615.392456
01/01/2002,1666.106323
01/01/2003,1679.162476
01/01/2004,1770.22998
01/01/2005,1884.152588
01/01/2006,1943.986206
01/01/2007,1953.582397
01/01/2008,1996.423706
01/01/2009,1978.538574
01/01/2010,2037.850342
01/01/2011,2135.517578
01/01/2012,2147.685547
01/01/2013,2156.576416
01/01/2014,2147.072754
01/01/2015,2144.267578
01/01/2016,2171.806885
01/01/2017,2203.379639
01/01/2018,2193.788818
01/01/2019,2105.910889
01/01/2020,1786.170166
01/01/2021,1885.833008
