Date,Electricity_Coal,Electricity_Natural_Gas,Electricity_Nuclear,Electricity_Other_Gas,Electricity_Petroleum,Energy_Wood,Electricity_Hydroelectric,Electricity_Geothermal,Electricity_Solar,Electricity_Waste,Electricity_Wind,Renewable,Non_Renewable
1973-01-01,75190.149,21184.967,6246.251,0,31183.619,5.157,26249.203,143.49,0,15.152,0,26407.845,133810.143
1973-02-01,67797.946,20252.525,5928.069,0,26086.952,15.138,23313.025,131.171,0,13.874,0,23458.07,120080.63
1973-03-01,67387.612,24043.248,6649.007,0,24033.245,17.94,25874.466,135.938,0,16.913,0,26027.317,122131.052
1973-04-01,63935.049,25030.266,5876.392,0,20195.424,6.323,24370.51,158.705,0,16.771,0,24545.986,115043.454
1973-05-01,64927.181,29755.984,5696.657,0,21741.975,4.589,25100.563,147.965,0,20.209,0,25268.737,122126.386
1973-06-01,69592.039,34627.356,6784.152,0,25999.512,3.707,24050.316,169.654,0,16.938,0,24236.908,137006.766
1973-07-01,75988.308,39171.261,6960.486,0,28728.259,3.821,22684.569,179.895,0,16.409,0,22880.873,150852.135
1973-08-01,78365.191,38890.546,7785.326,0,30745.665,15.159,21376.181,169.592,0,17.704,0,21563.477,155801.887
1973-09-01,71304.493,33118.166,7862.383,0,27109.009,19.924,17300.278,143.622,0,17.158,0,17461.058,139413.975
1973-10-01,70104.344,30688.93,7518.195,0,27224.244,18.564,18454.449,169.452,0,19.288,0,18643.189,135554.277
1973-11-01,69706.997,23717.377,8142.033,0,26124.562,9.174,20241.133,181.805,0,14.526,0,20437.464,127700.143
1973-12-01,73352.161,20377.565,8030.511,0,25170.459,10.907,26415.88,234.424,0,12.949,0,26663.253,126941.603
1974-01-01,73631.774,20728.02,7602.79,0,26198.955,10.676,29161.659,206.282,0,14.536,0,29382.477,128172.215
1974-02-01,66116.767,18941.924,8115.522,0,22564.916,3.687,26809.987,182.051,0,13.603,0,27005.641,115742.816
1974-03-01,67746.788,23628.456,8777.497,0,22136.383,3.404,27828.186,207.322,0,14.17,0,28049.678,122292.528
1974-04-01,62866.281,24029.361,7128.892,0,19940.913,10.355,28126.967,195.253,0,13.612,0,28335.832,113975.802
1974-05-01,67789.4,28325.25,6562.335,0,22682.163,11.103,28234.858,195.399,0,12.366,0,28442.623,125370.251
1974-06-01,67470.507,31727.856,7079.595,0,23064.936,9.564,26881.343,189.133,0,17.154,0,27087.63,129352.458
1974-07-01,76361.27,37214.571,10209.908,0,27725.762,0.466,26505.617,209.804,0,19.907,0,26735.328,151511.977
1974-08-01,74759.54,35350.593,12333.452,0,27201.402,2.967,24245.839,207.135,0,18.074,0,24471.048,149647.954
1974-09-01,65266.997,29348.424,11009.752,0,25047.795,11.63,21573.878,191.428,0,17.539,0,21782.845,130684.598
1974-10-01,66953.772,28263.526,10863.505,0,25701.39,1.738,20202.545,194.383,0,14.972,0,20411.9,131783.931
1974-11-01,66996.029,22735.948,11004.327,0,27758.192,1.86,21328.54,231.149,0,14.81,0,21574.499,128496.356
1974-12-01,72473.794,19771.16,13288.168,0,30907.732,1.072,23312.388,243.295,0,11.411,0,23567.094,136441.926
1975-01-01,74836.043,19689.283,13938.354,0,30632.234,0.738,25309.513,203.434,0,13.481,0,25526.428,139096.652
1975-02-01,67285.094,18049.671,12733.338,0,24923.842,1.018,24151.196,193.978,0,10.864,0,24356.038,122992.963
1975-03-01,69176.492,20098.711,14881.784,0,23122.664,0.588,28249.231,218.817,0,11.925,0,28479.973,127280.239
1975-04-01,64453.298,20323.206,13327.245,0,21257.994,0.195,26902.482,219.194,0,11.265,0,27132.941,119361.938
1975-05-01,64741.073,25707.482,13763.765,0,21050.282,0.897,28013.097,237.853,0,16.63,0,28267.58,125263.499
1975-06-01,70346.207,28830.399,12743.82,0,23062.398,2.721,27417.825,295.063,0,18.527,0,27731.415,134985.545
1975-07-01,76294.723,34181.9,15372.216,0,25132.477,0.366,25762.144,297.005,0,15.674,0,26074.823,150981.682
1975-08-01,78882.011,34041.236,15879.687,0,27957.786,1.506,22828.868,322.05,0,17.748,0,23168.666,156762.226
1975-09-01,68558.859,30020.384,14396.011,0,21426.066,3.089,20737.409,283.868,0,15.14,0,21036.417,134404.409
1975-10-01,69042.72,26300.474,14626.168,0,21994.709,2.9,22877.953,327.31,0,15.509,0,23220.772,131966.971
1975-11-01,70424.195,21829.846,14164.018,0,21614.561,1.844,24669.065,318.052,0,13.517,0,25000.634,128034.464
1975-12-01,78745.507,20705.816,16678.669,0,26919.888,1.689,26233.89,329.548,0,13.289,0,26576.727,143051.569
1976-01-01,83690.963,19894.883,16098.884,0,32230.754,2.121,26349.467,328.068,0,13.472,0,26691.007,151917.605
1976-02-01,73516.196,19163.451,14377.127,0,24782.98,1.858,24802.606,308.483,0,13.099,0,25124.188,131841.612
1976-03-01,76553.69,21282.392,13992.977,0,25436.579,2.54,26855.021,330.3,0,13.176,0,27198.497,137268.178
1976-04-01,72559.403,21867.164,10981.808,0,23310.448,2.203,24436.734,297.457,0,12.176,0,24746.367,128721.026
1976-05-01,72499.188,25318.846,11929.39,0,21806.959,2.403,25810.439,284.292,0,12.95,0,26107.681,131556.786
1976-06-01,76925.845,29715.292,15757.435,0,25116.695,2.887,25844.753,295.294,0,15.519,0,26155.566,147518.154
1976-07-01,83279.641,32031.884,17708.727,0,27011.425,0.955,26320.866,319.188,0,18.353,0,26658.407,160032.632
1976-08-01,84206.526,31393.084,18362.58,0,28262.962,2.946,24077.807,314.275,0,18.515,0,24410.597,162228.098
1976-09-01,75369.701,28057.948,17290.311,0,23621.906,5.491,20570.354,305.847,0,15.879,0,20892.08,144345.357
1976-10-01,76932.19,23909.086,17355.218,0,24189.65,5.042,21304.322,297.154,0,16.784,0,21618.26,142391.186
1976-11-01,81668.738,21110.511,16134.204,0,30074.971,25.731,20065.329,250.369,0,16.437,0,20332.135,149014.155
1976-12-01,87188.912,20879.37,21114.871,0,34142.807,30.209,20486.54,285.681,0,15.717,0,20787.938,163356.169
1977-01-01,89829.161,19952.66,22152.064,0,43378.623,35.268,20993.663,309.738,0,14.005,0,21317.406,175347.776
1977-02-01,78734.95,19480.517,19600.518,0,29446.474,39.087,15364.523,270.536,0,12.481,0,15647.54,147301.546
1977-03-01,77492.179,22467.119,20672.203,0,28368.708,35.02,20081.349,306.644,0,13.95,0,20401.943,149035.229
1977-04-01,70866.254,21296.921,19866.564,0,25862.144,31.562,18906.23,273.459,0,14.222,0,19193.911,137923.445
1977-05-01,77049.033,24701.328,20599.284,0,27963.903,31.192,18941.591,295.233,0,14.84,0,19251.664,150344.74
1977-06-01,83116.515,29621.145,21517.301,0,28970.658,30.069,17470.321,290.299,0,14.904,0,17775.524,163255.688
1977-07-01,92372.785,32712.543,21824.835,0,34893.219,3.421,17036.785,307.065,0,17.073,0,17360.923,181806.803
1977-08-01,90730.454,33290.504,22749.668,0,32326.169,19.466,16949.001,281.44,0,16.463,0,17246.904,179116.261
1977-09-01,82564.552,30937.59,19629.992,0,26365.748,24.439,16657.479,301.267,0,16.492,0,16975.238,159522.321
1977-10-01,79382.484,27355.603,19041.045,0,23073.922,27.979,17432.504,315.065,0,16.679,0,17764.248,148881.033
1977-11-01,79467.834,22565.612,19458.412,0,24862.747,19.617,20686.579,316.511,0,10.76,0,21013.85,146374.222
1977-12-01,83612.396,21123.315,23771.398,0,32666.506,10.515,23078.66,315.079,0,11.401,0,23405.14,161184.13
1978-01-01,85005.951,22309.743,25832.949,0,39264.223,23.622,25338.235,321.005,0,11.907,0,25671.147,172436.488
1978-02-01,70569.646,20370.197,21832.5,0,38212.55,22.747,22452.024,275.46,0,10.607,0,22738.091,151007.64
1978-03-01,66623.494,22269.092,22448.665,0,36958.018,25.683,24897.659,227.657,0,10.618,0,25135.934,148324.952
1978-04-01,70327.333,21339.11,17579.902,0,24978.413,5.501,25580.617,191.95,0,10.156,0,25782.723,134230.259
1978-05-01,76431.711,25076.268,20416.17,0,24368.349,4.506,29069.355,171.002,0,11.268,0,29251.625,146297.004
1978-06-01,84033.019,30618.31,22185.187,0,26129.595,5.058,25394.161,210.307,0,9.748,0,25614.216,162971.169
1978-07-01,89606.31,34247.75,25007.094,0,29117.394,6.308,24718.41,235.597,0,8.43,0,24962.437,177984.856
1978-08-01,93429.682,32583.162,25599.306,0,32302.004,24.018,22426.121,277.092,0,17.365,0,22720.578,183938.172
1978-09-01,87041.271,28206.109,22188.917,0,26640.067,12.896,21407.275,292.585,0,12.938,0,21712.798,164089.26
